node_id	node_label
HGNC 6139	ITGA3
HGNC 11521	TAC3
UBERON 0001672	anterior cerebral vein
FMA 69587	Medial part of dorsal digital artery of third toe
UBERON 0008488	cremaster muscle
FMA 65329	Branch of posterior muscular branch of radial nerve to medial head of triceps brachii
FMA 50624	Thalamoperforating artery
FMA 15421	Anterior inferior segmental branch of right portal vein
FMA 49913	Left inferior pulmonary vein
HGNC 11763	TFRC
FMA 26425	Transverse process of sixth cervical vertebra
FMA 4337	Right ninth posterior intercostal artery
PCL 0051100	DLCT6b_99 glutamatergic neuron (Hsap)
UBERON 0007180	atretic follicle of ovary
UBERON 0012276	endometrium glandular epithelium
FMA 82921	Branch of iliohypogastric nerve to internal oblique
UBERON 0009048	deep external pudendal vein
FMA 71307	Set of interspinales lumborum
HGNC 17635	CD274
UBERON 0001921	reuniens nucleus
FMA 7836	Neck of seventh rib
HGNC 4439	GP1BA
FMA 6942	Interganglionic branch of inferior cervical ganglion to middle cervical ganglion
FMA 44724	Lateral plantar nerve
FMA 8632	Right posterior basal segmental artery
HGNC 18180	CALML5
FMA 23356	Anatomical neck of humerus
UBERON 0001615	transverse facial artery
FMA 18911	Inferior gluteal vein
HGNC 4403	GNG11
UBERON 0006936	thymus subcapsular epithelium
FMA 6167	Twelfth thoracic nerve
HGNC 17178	ADAMTS20
UBERON 0004617	lumbar vertebra 1
CL 0000936	early lymphoid progenitor
UBERON 0022264	optic radiation
CL 4033010	neuroendocrine cell of epithelium of lobar bronchus
HGNC 20369	RGCC
HGNC 3770	FMO2
UBERON 0000399	jejunal mucosa
UBERON 0001807	paravertebral ganglion
FMA 70453	Lateral inferior segmental hepatic artery
HGNC 25723	VASH2
UBERON 0002013	superior hypogastric nerve plexus
UBERON 0005099	short descending thin limb
FMA 45316	Nerve to adductor longus
UBERON 0004631	thoracic vertebra 6
CL 0000037	hematopoietic stem cell
PCL 0051143	DLIT_142 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
FMA 23082	Cervical rotator
HGNC 5977	IL15
PCL 0015007	Inh L3-6 PAX6 LINC01497 primary motor cortex GABAergic interneuron (Hsap)
UBERON 0008974	apocrine gland
PCL 0051346	Splat_345 neuron (Hsap)
FMA 15798	Anterior superior segmental tributary of right hepatic vein
FMA 4708	Left marginal vein
HGNC 15503	LILRA4
UBERON 0001978	parenchyma of pancreas
UBERON 0012194	superior intercostal vein
UBERON 0006451	L4 segment of lumbar spinal cord
UBERON 0011050	thoracic vertebra 8
HGNC 4414	GNLY
FMA 44949	Inferior lateral cutaneous nerve of arm
PCL 0051156	Amex_155 amygdala excitatory neuron (Hsap)
HGNC 1663	CD36
UBERON 0007713	fourth sacral spinal ganglion
CL 1000344	paneth cell of epithelium proper of small intestine
HGNC 50913	LNCAROD
UBERON 0034982	inferior bulb of internal jugular vein
PCL 0051385	Splat_384 neuron (Hsap)
CL 1001474	medium spiny neuron
HGNC 28870	MDFIC
CL 1000454	kidney collecting duct epithelial cell
HGNC 24880	LYPD3
FMA 26322	Transverse process of fourth cervical vertebra
HGNC 18788	KLRK1
FMA 9214	Superior costal facet of body of third thoracic vertebra
FMA 43008	Diaphysis of second metatarsal bone
PCL 0051277	CGE_276 vip GABAergic cortical interneuron (Hsap)
CL 0001062	effector memory CD8-positive, alpha-beta T cell, terminally differentiated
HGNC 7872	NOS1
HGNC 1954	CHRM5
UBERON 0004654	temporal process of zygomatic bone
UBERON 0003681	masticatory muscle
PCL 0051151	DLIT_150 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
PCL 0015079	Oligo L2-6 OPALIN MAP6D1 primary motor cortex oligodendrocyte precursor cell (Hsap)
HGNC 11249	SPN
CL 0000897	CD4-positive, alpha-beta memory T cell
HGNC 4280	GJC1
UBERON 0006767	head of femur
UBERON 0002137	aortic valve
HGNC 4942	HLA-DQA1
HGNC 2558	CX3CR1
PCL 0015080	Exc L2-3 RORB CCDC68 primary motor cortex glutamatergic neuron (Hsap)
FMA 43888	Inferior lateral genicular artery
FMA 65644	Meningeal branch of third cervical nerve
HGNC 11528	TACR3
UBERON 0002291	central canal of spinal cord
HGNC 24182	C1QL1
HGNC 427	ALK
FMA 44764	Deep branch of lateral plantar nerve
HGNC 356	CRYBG1
HGNC 30506	PLEKHH2
UBERON 0005628	ileal artery
HGNC 13299	LGR4
UBERON 0014620	cervical spinal cord dorsal horn
PCL 0051433	Splat_432 neuron (Hsap)
UBERON 0001259	mucosa of urinary bladder
FMA 13489	Ninth thoracic vertebral foramen
HGNC 11639	TCF7
HGNC 13433	ROBO3
CL 0000845	marginal zone B cell of spleen
UBERON 0006092	cuneus cortex
CL 0002341	basal cell of prostate epithelium
UBERON 0004927	submucosa of cecum
HGNC 1768	CDH9
HGNC 18254	HES6
HGNC 5464	IGF1
FMA 234912	Supraclavicular lymphatic vessel
UBERON 0001043	esophagus
CL 0000872	splenic marginal zone macrophage
FMA 43718	Lateral lip of linea aspera of femur
UBERON 0001680	lacrimal bone
UBERON 0002603	paraterminal gyrus
UBERON 0001129	subscapularis muscle
UBERON 0004184	prostate gland stroma
FMA 323401	Dorsal digital vein of foot
FMA 6440	First cervical nerve
FMA 77541	Vagal part of accessory nerve
UBERON 0016386	paraaortic lymph node
UBERON 0001813	spinal nerve plexus
HGNC 42	ABCB11
UBERON 0004058	biliary ductule
FMA 19035	Tibial nerve
HGNC 6694	LRP2
UBERON 0006322	inferior rectus extraocular muscle
FMA 53379	Nerve to corrugator supercilii
HGNC 8133	OLR1
FMA 21121	Deep part of superior gluteal artery
FMA 8605	Fifth intercostal nerve
HGNC 2355	CRH
HGNC 219	ADAMTS3
UBERON 0034713	cranial neuron projection bundle
HGNC 1437	CALCA
FMA 52692	Long ciliary nerve to ciliary body
FMA 6706	Branch of external laryngeal nerve to pharyngeal nerve plexus
FMA 37654	Distal epiphysis of middle phalanx of little finger
UBERON 0001266	splenic cord
HGNC 10527	SALL3
PCL 0051381	Splat_380 neuron (Hsap)
FMA 280943	Capillary network of thymus
UBERON 0001929	supraoptic nucleus
FMA 53487	Nerve to stylopharyngeus
FMA 52572	Superior branch of oculomotor nerve
HGNC 9093	PLTP
HGNC 15467	DYNLRB2
FMA 6482	Ninth thoracic ganglion
PCL 0015038	Inh L3-6 VIP UG0898H09 primary motor cortex GABAergic interneuron (Hsap)
UBERON 0012109	zygomatic process of frontal bone
HGNC 3673	FGF17
FMA 44793	Dorsal digital nerve of foot
UBERON 0002190	subcutaneous adipose tissue
UBERON 0008593	zygomaticus major muscle
HGNC 14687	LYVE1
FMA 75331	Middle talar articular surface of calcaneus
FMA 24829	Third lumbar vertebral foramen
HGNC 4411	GNGT1
FMA 17561	Fundus of uterus
FMA 52695	Long ciliary nerve to dilatator pupillae
FMA 22049	Labium majus branch of posterior labial nerve
HGNC 1346	C7
CL 0000125	glial cell
UBERON 0004608	rib 9
HGNC 19832	CLEC14A
HGNC 16039	ANGPTL4
HGNC 10620	CCL21
FMA 8341	Superior articular facet of head of ninth rib
UBERON 0012271	major duodenal papilla
UBERON 0010395	lymph node primary follicle
FMA 20613	Communicating branch of iliohypogastric nerve with ilioinguinal nerve
FMA 26310	Pedicle of fourth cervical vertebra
FMA 3840	Posterior interventricular branch of right coronary artery
CL 0002652	endothelial cell of high endothelial venule
UBERON 0004179	prostate glandular acinus
HGNC 10937	SLC19A1
FMA 8135	Costal groove of eighth rib
HGNC 10929	SLC17A1
CL 0002437	mature CD8 single-positive thymocyte
FMA 10001	Pedicle of eighth thoracic vertebra
UBERON 0005304	submucous nerve plexus
FMA 8433	Costal groove of tenth rib
FMA 14741	Right fourth lumbar artery
FMA 16293	Inferior vertebral notch of fifth lumbar vertebra
UBERON 0004944	submucosa of trigone of urinary bladder
HGNC 11950	TNNT3
HGNC 22950	PREX2
HGNC 15879	CTNNBL1
UBERON 0004516	smooth muscle tissue of terminal bronchiole
CL 0008036	extravillous trophoblast
HGNC 4175	GATM
FMA 4184	Posterior radicular branch of posterior intercostal artery
HGNC 11200	SOX4
UBERON 0003222	flexor digitorum superficialis
HGNC 1697	CD74
UBERON 0009752	pancreas mesenchyme
FMA 82584	Branch of spinal accessory nerve to sternocleidomastoid
HGNC 52467	LINC01680
HGNC 13841	ADGRG6
FMA 31933	Right bronchial artery
HGNC 7067	CIITA
CL 0002521	subcutaneous adipocyte
CL 4023063	medial ganglionic eminence derived interneuron
FMA 69601	Lateral part of dorsal digital artery of great toe
UBERON 0004726	vasa recta
UBERON 0002857	first lumbar dorsal root ganglion
HGNC 607	APOC1
HGNC 43960	LINC00609
FMA 65659	Meningeal branch of eighth cervical nerve
FMA 22803	Posterior ulnar recurrent artery
PCL 0051125	ULIT_124 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
HGNC 2210	COL5A2
HGNC 22404	GIMAP7
HGNC 19419	HS3ST5
FMA 44921	Lateral dorsal digital branch of ulnar nerve to little finger
UBERON 0004609	rib 10
HGNC 13432	RNF19A
HGNC 800	ATP1A2
FMA 22427	Muscle of posterior compartment of thigh
HGNC 5341	IBSP
UBERON 0012322	ascending cervical artery
FMA 10069	Superior vertebral notch of eleventh thoracic vertebra
PCL 0051042	COP_41 differentiation-committed oligodendrocyte precursor (Hsap)
UBERON 0035273	superior thoracic artery
FMA 53544	Communicating branch of internal laryngeal nerve with recurrent laryngeal nerve
HGNC 5472	IGFBP3
HGNC 2475	CST3
HGNC 8634	PBX3
UBERON 0001872	parietal lobe
PCL 0015127	Micro L1-6 TYROBP CD74 primary motor cortex microglial cell (Hsap)
HGNC 10971	SLC22A7
UBERON 0001661	deep temporal vein
UBERON 0001151	tail of pancreas
CL 1001428	bladder urothelial cell
PCL 0051369	Splat_368 neuron (Hsap)
HGNC 710	ARR3
FMA 7706	Inferior articular facet of head of third rib
FMA 50800	Inferior laryngeal vein
FMA 53325	Deep buccal branch of facial nerve
HGNC 3357	ENPP2
HGNC 1907	CH25H
UBERON 0009853	body of uterus
UBERON 0007836	cervical spinal cord ventral commissure
HGNC 15581	TFAP2D
FMA 14324	Superior laryngeal vein
FMA 53543	Lower branch of internal laryngeal nerve to arytenoideus
FMA 80062	Nerve to tibialis anterior
UBERON 0000016	endocrine pancreas
HGNC 7399	MT1G
UBERON 0001539	dorsalis pedis artery
HGNC 1067	BMP1
CL 4023013	corticothalamic-projecting glutamatergic cortical neuron
CL 0000099	interneuron
HGNC 18404	FAM9B
UBERON 0001871	temporal lobe
UBERON 0004096	odontoid process of cervical vertebra 2
PCL 0051377	Splat_376 neuron (Hsap)
CL 0000402	CNS interneuron
HGNC 3690	FGFR3
HGNC 8831	PENK
HGNC 29266	KLHL14
HGNC 50703	LINC01411
HGNC 29	ABCA1
UBERON 0008446	flexor pollicis longus muscle
FMA 44962	Articular branch of radial nerve
FMA 33729	Proximal epiphysis of fibula
HGNC 54229	LINC02712
UBERON 0000390	lens nucleus
UBERON 0006323	superior rectus extraocular muscle
UBERON 0006452	T4 segment of thoracic spinal cord
HGNC 1033	BDNF
UBERON 0014691	right gastric vein
HGNC 38675	C11orf96
HGNC 38408	ZNF736P9Y
FMA 43761	Intercondylar eminence of tibia
FMA 6881	Posterior branch of great auricular nerve
FMA 52642	Supratrochlear nerve
UBERON 0002353	bundle of His
UBERON 0010995	deep part of masseter muscle
PCL 0051312	URL_311 cerebellar granule cell (Hsap)
CL 1000850	macula densa epithelial cell
HGNC 1659	CD33
UBERON 0000956	cerebral cortex
PCL 0051126	ULIT_125 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
FMA 4735	Fourth anterior intercostal vein
UBERON 0001192	left gastric artery
HGNC 17013	CD160
FMA 80237	Nerve to third dorsal interosseous of hand
FMA 7075	Posterior ramus of first thoracic nerve
HGNC 10827	SH3BP5
FMA 57703	Nasal surface of maxilla
FMA 16510	Superior gluteal nerve
FMA 37645	Distal epiphysis of distal phalanx of ring finger
FMA 7068	Anterior ramus of first sacral nerve
HGNC 1487	CAPS
UBERON 0001689	malleus bone
UBERON 8410036	medullary venule of lymph node
HGNC 10044	RNASE1
PCL 0051335	Splat_334 neuron (Hsap)
HGNC 10627	CCL3
UBERON 0004613	mammalian cervical vertebra 4
FMA 67549	Deep petrosal nerve
HGNC 27725	F11-AS1
UBERON 0004318	distal phalanx of pedal digit 4
HGNC 11801	THY1
FMA 6252	Nerve to posterior crico-arytenoid
HGNC 11220	SPARCL1
UBERON 0002333	pulmonary trunk
CL 0000940	mucosal invariant T cell
HGNC 10940	SLC1A2
PCL 0051236	Splat_235 long-range projecting sst GABAergic cortical interneuron (Mmus) (Hsap)
CL 4023060	hippocampal CA1-3 neuron
FMA 9219	Pedicle of third thoracic vertebra
FMA 44679	Articular branch of sciatic nerve
HGNC 20692	TPH2
PCL 0051428	MSN_427 direct pathway medium spiny neuron (Hsap)
FMA 33088	Distal epiphysis of middle phalanx of fourth toe
HGNC 1004	BCL7A
HGNC 6188	JAG1
UBERON 0001405	spinalis thoracis muscle
HGNC 11756	TFF2
FMA 22750	Palmar carpal branch of radial artery
UBERON 0011016	pyramidalis
UBERON 0009745	lymph node medullary cord
UBERON 0003975	internal female genitalia
PCL 0051270	LLC_269 CNS interneuron (Hsap)
FMA 8631	Right lateral basal segmental artery
FMA 8517	Body of twelfth rib
FMA 14817	Posterior cecal artery
HGNC 7029	MET
HGNC 18651	ADGRD2
UBERON 0004201	kidney outer medulla inner stripe
UBERON 0035483	left suprarenal vein
HGNC 24213	CILP2
UBERON 0006849	scapula
UBERON 0004527	alveolar process of maxilla
UBERON 0004538	left kidney
FMA 13488	Eighth thoracic vertebral foramen
UBERON 0001634	mesencephalic artery
UBERON 0002848	fifth thoracic dorsal root ganglion
UBERON 0011955	left hepatic vein
HGNC 2360	CRIP1
FMA 16168	Lamina of fifth lumbar vertebra
HGNC 4206	OPN1MW
FMA 32967	Proximal epiphysis of middle phalanx of third toe
UBERON 0008573	lateral crico-arytenoid
FMA 42791	Proximal epiphysis of second metacarpal bone
FMA 10656	Fifth anterior intercostal artery
HGNC 8138	ONECUT1
UBERON 0005850	lumbar spinal cord lateral column
PCL 0051213	MSN_212 indirect pathway medium spiny neuron (Hsap)
HGNC 11191	SOX11
FMA 49599	Mastoid artery
CL 1000716	kidney outer medulla collecting duct principal cell
FMA 24768	Inferior vertebral notch of third cervical vertebra
HGNC 11092	SLPI
UBERON 0012239	urinary bladder vasculature
CL 0000771	eosinophil
UBERON 0004336	proximal phalanx of pedal digit 5
CL 0000526	afferent neuron
FMA 46727	Levator veli palatini
HGNC 51662	LINC01608
CL 0002573	Schwann cell
PCL 0051033	OPC_32 oligodendrocyte precursor cell (Hsap)
UBERON 0007712	fourth thoracic spinal ganglion
HGNC 6644	LMO4
HGNC 11132	SNAP25
CL 0000935	CD4-negative, CD8-negative, alpha-beta intraepithelial T cell
FMA 37379	Opponens pollicis
HGNC 9211	POU2AF1
HGNC 10612	CCL14
PCL 0051407	Amex_406 amygdala excitatory neuron (Hsap)
UBERON 0011188	lesser tubercle of humerus
FMA 16716	Meningeal branch of fourth sacral nerve
UBERON 0002726	cervical spinal cord
FMA 50337	Pericallosal artery
UBERON 0001556	lower urinary tract
CL 0009009	paneth cell of colon
UBERON 0012247	cervical gland
HGNC 6093	INSRR
CL 0000041	mature eosinophil
FMA 10068	Pedicle of eleventh thoracic vertebra
FMA 6472	Lumbar ganglion
HGNC 10736	SEMA5A
HGNC 5993	IL1R1
FMA 44647	First dorsal metatarsal artery
HGNC 5480	IGHD
UBERON 0003617	trachea elastic tissue
UBERON 0019278	inferior rostral gyrus
HGNC 23600	KRTAP5-6
FMA 44835	Nerve to pronator quadratus
UBERON 0004619	lumbar vertebra 3
UBERON 0002056	inferior suprarenal artery
HGNC 2561	CXCR4
UBERON 0026386	lumbar spinal cord white matter
HGNC 6015	IL4R
UBERON 0035829	right gastroepiploic artery
PCL 0051098	DLCT6b_97 glutamatergic neuron (Hsap)
UBERON 0001369	iliacus muscle
CL 0000875	non-classical monocyte
FMA 6476	Third thoracic ganglion
FMA 65515	Pulmonary branch of vagus nerve
HGNC 227	ADARB2
UBERON 0005636	caecum epithelium
UBERON 0002705	midline nuclear group
FMA 6646	Vesical nerve plexus
HGNC 1645	CD24
FMA 44648	Second dorsal metatarsal artery
UBERON 0018255	jejunal artery
HGNC 2027	CLCNKB
HGNC 3467	ESR1
FMA 6253	Nerve to lateral crico-arytenoid
UBERON 0016493	palmaris longus muscle
PCL 0051014	VendPLVAP_13 brain vascular cell (Hsap)
HGNC 1242	C1QB
HGNC 2959	DNASE1L3
CL 0000113	mononuclear phagocyte
UBERON 0001297	serosa of uterus
FMA 53234	Lingual branch of lingual nerve
CL 0000970	unswitched memory B cell
FMA 9176	Superior vertebral notch of first thoracic vertebra
HGNC 8044	NUCB2
UBERON 0002381	pectoralis major
PCL 0015050	Inh L1-2 SST CCNJL primary motor cortex GABAergic interneuron (Hsap)
HGNC 7843	NMBR
UBERON 0003984	uterine tube infundibulum
UBERON 0002336	corpus callosum
UBERON 0001427	radiale
HGNC 3618	FCGR2B
UBERON 0003646	metacarpal bone of digit 2
HGNC 5130	HOXC9
UBERON 0010421	spleen B cell corona
HGNC 1079	BMX
FMA 6871	Lesser occipital nerve
HGNC 2766	DEFB1
UBERON 0001989	superior cervical ganglion
FMA 32528	Obliquus capitis inferior
FMA 52646	Conjunctival branch of supratrochlear nerve
FMA 23396	Intertubercular sulcus of humerus
UBERON 0014622	apex of cervical spinal cord dorsal horn
FMA 22811	Posterior interosseous artery
CL 0019028	midzonal region hepatocyte
FMA 53316	Communicating branch of zygomatic branch of facial nerve with zygomaticofacial branch of zygomatic nerve
FMA 16132	Superior articular process of fifth lumbar vertebra
CL 1000718	kidney inner medulla collecting duct principal cell
FMA 44833	Nerve to wrist joint
UBERON 8410034	lymph node artery
UBERON 0016378	ileocolic lymph node
CL 0000604	retinal rod cell
HGNC 12252	TRD
CL 0009114	monocytoid B cell
FMA 18713	Corpus luteum of pregnancy
FMA 37606	Distal epiphysis of proximal phalanx of thumb
FMA 9207	Inferior articular process of second thoracic vertebra
FMA 14930	Ascending part of duodenum
FMA 52239	Anterior vestibular artery
HGNC 8619	PAX5
FMA 16273	Superior vertebral notch of second lumbar vertebra
FMA 4146	Left first bronchial artery
UBERON 0004636	thoracic vertebra 12
FMA 80218	Nerve to fourth lumbrical of hand
FMA 23300	Acromial end of clavicle
FMA 26469	Lamina of seventh cervical vertebra
HGNC 6839	MAP2
FMA 53282	Auricular branch of posterior auricular nerve
FMA 15397	Right gastroepiploic vein
UBERON 0003332	submucosa of duodenum
CL 0000860	classical monocyte
UBERON 0035183	calcarine artery
HGNC 17106	BEST4
HGNC 26270	PIEZO2
CL 4030020	kidney connecting tubule alpha-intercalated cell
FMA 42809	Distal epiphysis of third metacarpal bone
FMA 22820	Dorsal carpal branch of ulnar artery
FMA 53401	Vestibular nerve
FMA 75360	Set of alveolar canal spaces of maxilla
HGNC 634	AQP2
HGNC 29109	TESPA1
CL 0001203	CD8-positive, alpha-beta memory T cell, CD45RO-positive
UBERON 0001955	epithelium of respiratory bronchiole
PCL 0015062	Inh L5 PVALB LRIG3 primary motor cortex GABAergic interneuron (Hsap)
HGNC 5295	HTR2C
UBERON 0002000	gluteal muscle
PCL 0051420	Amex_419 amygdala excitatory neuron (Hsap)
FMA 70150	Trunk of anterior part of obturator artery
CL 0001055	CD14-positive, CD16-low monocyte
CL 0000049	common myeloid progenitor
FMA 15429	Medial inferior segmental branch of left portal vein
HGNC 1955	CHRNA1
FMA 71523	Set of pharyngeal branches of inferior thyroid artery
UBERON 0009919	ureter smooth muscle
HGNC 27823	LINC02153
HGNC 7612	MYOG
FMA 48962	Left auricularis posterior
HGNC 6524	LCK
UBERON 0001377	quadriceps femoris
FMA 9927	Superior costal facet of body of fifth thoracic vertebra
FMA 70449	Medial superior segmental hepatic artery
FMA 10011	Inferior articular process of eighth thoracic vertebra
HGNC 1911	CHAF1B
HGNC 11757	TFF3
HGNC 5478	IGHA1
FMA 7759	Articular facet of tubercle of fourth rib
HGNC 19266	SYT10
PCL 0051334	Mmb_333 mammillary body neuron (Hsap)
HGNC 1694	CD69
HGNC 12449	TYROBP
CL 0001006	dermal dendritic cell
FMA 21899	Deep transverse muscle branch of perineal nerve
UBERON 0002073	hair follicle
FMA 14755	Right middle suprarenal artery
HGNC 29990	NUPR1
HGNC 29399	PLEKHG4B
HGNC 11126	SMTN
UBERON 0004612	mammalian cervical vertebra 3
FMA 44998	Lateral dorsal digital branch of radial nerve to ring finger
UBERON 0003020	subcallosal area
UBERON 0014633	substantia gelatinosa of lumbar spinal cord dorsal horn
FMA 22702	Iliocostalis lumborum
FMA 22474	Muscle of posterior compartment of leg
FMA 4869	Anterior internal vertebral venous plexus
UBERON 0001196	middle colic artery
FMA 53340	Lower deep buccal branch of facial nerve
UBERON 0002850	seventh thoracic dorsal root ganglion
FMA 37418	Dorsal interosseous of hand
CL 0000188	cell of skeletal muscle
CL 0000236	B cell
HGNC 28572	FRMPD2
PCL 0051101	DLCT6b_100 glutamatergic neuron (Hsap)
FMA 50560	Pontine artery
HGNC 16830	IL32
CL 4033019	ON-blue cone bipolar cell
UBERON 0035252	left subcostal vein
UBERON 0008874	pulmonary acinus
FMA 49791	Descending palatine artery
UBERON 0005203	trachea gland
FMA 8806	Posterior ramus of fifth thoracic nerve
FMA 7602	Body of first rib
PCL 0051432	Splat_431 neuron (Hsap)
HGNC 23792	PLD4
PCL 0051364	Splat_363 neuron (Hsap)
HGNC 26744	LINC03122
CL 1000321	large intestine crypt goblet cell
FMA 23066	Clavicular branch of thoraco-acromial artery
UBERON 0014892	skeletal muscle organ, vertebrate
FMA 31730	Auricular surface of sacrum
FMA 44691	Nerve to gastrocnemius
CL 1001106	kidney loop of Henle thick ascending limb epithelial cell
FMA 42967	Proximal epiphysis of fifth metatarsal bone
FMA 52573	Inferior branch of oculomotor nerve
HGNC 32411	SCART1
FMA 53275	Stapedius nerve
PCL 0051005	Mgl_4 microglial cell (Hsap)
HGNC 1637	CD1D
FMA 82613	Nerve to antitragicus
UBERON 0002130	cerebellar nuclear complex
FMA 81333	Branch of medial pectoral nerve to sternocostal part of pectoralis major
HGNC 53587	LINC02552
UBERON 0002370	thymus
CL 0002591	smooth muscle cell of the pulmonary artery
UBERON 0006665	accessory hemiazygos vein
PCL 0015088	Exc L5 THEMIS SLC22A18 primary motor cortex glutamatergic neuron (Hsap)
HGNC 16709	CALCRL
UBERON 0001557	upper respiratory tract
FMA 9928	Inferior costal facet of body of fifth thoracic vertebra
UBERON 0007177	lamina propria of mucosa of colon
FMA 16129	Superior articular process of second lumbar vertebra
UBERON 0003126	trachea
FMA 11007	Gray communicating ramus of third intercostal nerve
CL 0000115	endothelial cell
UBERON 0004188	glomerular epithelium
FMA 16272	Superior vertebral notch of first lumbar vertebra
PCL 0051012	Mgl_11 microglial cell (Hsap)
UBERON 1000023	spleen pulp
FMA 4291	Right seventh posterior intercostal artery
CL 0002306	epithelial cell of proximal tubule
CL 0000836	promyelocyte
